term,beta_ols,se_ols,beta_iv,se_iv,t_ols,t_iv,p_ols,p_iv
Coke* Store6,0.14656639208990896,0.024496458718420298,0.1395292597897111,0.02677532010110768,5.983166537443114,5.211114536178369,2.471339628154891e-09,2.015746615917096e-07
Coke* Store7,0.1256807911701543,0.024596153703034154,0.05754617152187791,0.036288377173997646,5.109774182076706,1.5858017360752215,3.445755446632418e-07,0.11289897272678412
Royal* Store1,-0.3772938646271058,0.02422237672465384,-0.39432991433741904,0.02706003564398331,-15.57625285561228,-14.572409272679458,1.7073414276442436e-52,2.1369055811536532e-46
Royal* Store2,0.17966818421322728,0.02453018781817957,0.19388765451920165,0.027177668303364474,7.324370508083651,7.134079802394204,3.1353781660483355e-13,1.2400292943408938e-12
Royal* Store3,0.22879547391850963,0.02424583117892358,0.25967301078307514,0.02862487854290309,9.43648713175059,9.0715847193509,7.9173483911394e-21,2.173452585059933e-19
Royal* Store4,0.33050072877223613,0.02426461760640263,0.33233490770275864,0.026411389693709476,13.620685647443622,12.583014811292282,6.183943617378431e-41,2.4051148530022208e-35
Royal* Store5,0.3667800932025358,0.02421873932826918,0.3724829862259611,0.026432931149584633,15.14447503774129,14.091626241451255,7.883496503619924e-50,1.3434043274635753e-43
Royal* Store6,-1.0861734562654703,0.024452007993657224,-1.1038568325754454,0.027356663923177357,-44.42062412817877,-40.35056451602733,0.0,3.635861315913322e-280
Royal* Store7,-1.1794287312722957,0.02486609644535856,-1.1927466813410206,0.02747836317980192,-47.43119748867719,-43.4067587481977,0.0,3.7698004905e-314
Private* Store1,0.03846240570398152,0.024150661208565214,0.038761530191877114,0.026279369949566957,1.5926025946792932,1.4749794331547832,0.1113640067213112,0.14033225526454293
Private* Store2,0.5620764018992048,0.02456850596880692,0.5890140774096153,0.028435313514748824,22.877923574711367,20.714175600845955,3.2847286897700964e-106,1.0455414033467478e-88
Private* Store3,1.040410682010048,0.02465922328524642,1.071796317907129,0.02911037163896504,42.191543098298816,36.818366017440326,1.426451443589709e-300,1.0139956228973688e-241
Private* Store4,1.1430171641851672,0.025426629854804646,1.2144665991463341,0.03776095166671369,44.95354558241549,32.16197011837727,0.0,5.38714205055681e-193
Private* Store5,0.5517927739156363,0.02415572371978157,0.5586537020325295,0.026400239201068546,22.843148080211023,21.160933345252346,6.416434518835534e-106,3.208956995487415e-92
Private* Store6,-0.04708295402687668,0.02391905565427678,-0.06408808338917993,0.026736112641713525,-1.968428633111949,-2.3970606440814466,0.0491187843517823,0.016593372190422645
pepsi-coke price,1.72747937827733e-05,0.08956539249711981,0.15413208243690946,0.11211958766118638,0.00019287353408660397,1.3747114634659594,0.9998461231398397,0.16933263216715622
pepsi-RC price,-0.12016918474760674,0.09106014380994405,-0.12100379737285305,0.09908607114265071,-1.3196682952578853,-1.2211988625388948,0.18705535995058967,0.22211515406221907
pepsi-PL price,0.06116596793988226,0.10319624485546655,-0.031171163044588113,0.11709952000835558,0.5927150549474878,-0.26619377297502084,0.5534204750401268,0.7901098836897942
coke-pepsi price,0.12888540453779873,0.10299041225637773,0.3814592440660718,0.14426204418715258,1.2514310964884738,2.644210722338032,0.21088340949138928,0.008234580952916175
coke-RC price,-0.06857624789104699,0.0911749508769792,-0.036638295971298085,0.09987334426877717,-0.7521391262779593,-0.3668475932146402,0.4520316031796623,0.7137608571417846
coke-PL price,0.19701741595883648,0.10348088239157244,0.1627457816607869,0.11327372053420286,1.9039015845779232,1.4367479137550356,0.057027019289090146,0.15090310135791984
RC-pepsi price,0.1686291821852932,0.10377018952498983,0.08799804246397613,0.11658052427573723,1.6250252886421115,0.7548262714605951,0.10427147132173657,0.4504177003202188
RC-coke price,0.19699231977988851,0.09052397946630336,0.20455845095776226,0.09853978122068202,2.176134113207174,2.0758971495953404,0.02962986786198014,0.03799594120593996
RC-PL price,0.1410926491095399,0.10362742990983968,0.18398609962271806,0.11381097256768243,1.3615376665453978,1.6165936857564684,0.17345509122905844,0.10608042243121053
PL-pepsi price,0.21074400965852647,0.10359402890837978,0.18250054750399158,0.11318094915678821,2.034325837881176,1.612467017317338,0.04201428090344311,0.10697480526727737
PL-coke price,0.21551608537382094,0.09054892233476758,0.2226647996382951,0.09856288135777372,2.380106574620937,2.259114146937765,0.01737523982039145,0.02395407777729899
PL-RC price,-0.0932960286187452,0.0912874041492667,-0.0363415359276118,0.10142313286107202,-1.0220033036123377,-0.35831604588069593,0.30686900380081,0.7201342439946641
Display,0.07782989733822543,0.008980545630972519,0.006324283079276682,0.027512295230698203,8.666499847158741,0.22987115492349222,7.463755871914493e-18,0.8182089439925015
Feature,0.13906925549293092,0.00904232845097944,0.10106205614216579,0.01684281210473439,15.379805793038553,6.00030775821325,2.833296291112227e-51,2.2270806395081134e-09
own_log_price,-0.934823818170893,0.055147504670575345,-2.1770324686332003,0.4507957980893885,-16.95133485649225,-4.8293095850940375,2.177573060781864e-61,1.4449204575224896e-06
intercept,2.623783473015493,0.01768935136927618,2.6341963470169247,0.019609349327960924,148.32558968626861,134.33369475757314,0.0,0.0
